Ticker,META,META,META,META,META,META,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,NVDA,NVDA,NVDA,NVDA,NVDA,NVDA,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,78.58000183105469,78.93000030517578,77.69999694824219,78.44999694824219,77.83914947509766,18177500,15.628999710083008,15.737500190734863,15.347999572753906,15.425999641418457,15.425999641418457,55664000,26.6299991607666,26.790000915527344,26.393999099731445,26.477500915527344,26.260461807250977,26480000,46.65999984741211,47.41999816894531,46.540000915527344,46.7599983215332,39.7677001953125,27913900,0.503250002861023,0.5070000290870667,0.49524998664855957,0.503250002861023,0.4829852283000946,113680000,27.84749984741211,27.860000610351562,26.837499618530273,27.332500457763672,24.21489715576172,212818400
2015-01-05,77.9800033569336,79.25,76.86000061035156,77.19000244140625,76.5889663696289,26452200,15.350500106811523,15.418999671936035,15.042499542236328,15.10949993133545,15.10949993133545,55484000,26.357500076293945,26.399499893188477,25.887500762939453,25.972999572753906,25.760093688964844,41182000,46.369998931884766,46.72999954223633,46.25,46.33000183105469,39.40198516845703,39673900,0.503250002861023,0.5047500133514404,0.4925000071525574,0.4947499930858612,0.47482752799987793,197952000,27.072500228881836,27.162500381469727,26.352500915527344,26.5625,23.532712936401367,257142000
2015-01-06,77.2300033569336,77.58999633789062,75.36000061035156,76.1500015258789,75.55706024169922,27399300,15.112000465393066,15.149999618530273,14.619000434875488,14.76449966430664,14.76449966430664,70380000,26.024999618530273,26.06049919128418,25.27750015258789,25.332000732421875,25.12434959411621,54456000,46.380001068115234,46.75,45.540000915527344,45.650001525878906,38.82368469238281,36447900,0.49549999833106995,0.4959999918937683,0.4792500138282776,0.47975000739097595,0.4604315757751465,197764000,26.635000228881836,26.857500076293945,26.157499313354492,26.565000534057617,23.53493881225586,263188400
2015-01-07,76.76000213623047,77.36000061035156,75.81999969482422,76.1500015258789,75.55706024169922,22045300,14.875,15.064000129699707,14.766500473022461,14.920999526977539,14.920999526977539,52806000,25.547500610351562,25.574499130249023,25.1825008392334,25.25749969482422,25.050457000732422,46918000,45.97999954223633,46.459999084472656,45.4900016784668,46.22999954223633,39.31694030761719,29114100,0.4832499921321869,0.48750001192092896,0.47699999809265137,0.47850000858306885,0.45923200249671936,321808000,26.799999237060547,27.049999237060547,26.674999237060547,26.9375,23.864948272705078,160423600
2015-01-08,76.73999786376953,78.2300033569336,76.08000183105469,78.18000030517578,77.57125854492188,23961000,15.015999794006348,15.156999588012695,14.805500030517578,15.02299976348877,15.02299976348877,61768000,25.07550048828125,25.375,24.750999450683594,25.345500946044922,25.137737274169922,73054000,46.75,47.75,46.720001220703125,47.59000015258789,40.473575592041016,29645200,0.48399999737739563,0.49950000643730164,0.48374998569488525,0.4964999854564667,0.4765070378780365,283780000,27.3075008392334,28.037500381469727,27.174999237060547,27.97249984741211,24.781890869140625,237458000
2015-01-09,78.19999694824219,78.62000274658203,77.19999694824219,77.73999786376953,77.13468933105469,21157000,15.074000358581543,15.143500328063965,14.833999633789062,14.846500396728516,14.846500396728516,51848000,25.409000396728516,25.43000030517578,24.9325008392334,25.035999298095703,24.830774307250977,42000000,47.61000061035156,47.81999969482422,46.900001525878906,47.189998626708984,40.13338088989258,23944200,0.49825000762939453,0.5022500157356262,0.49149999022483826,0.4984999895095825,0.478426456451416,209540000,28.167499542236328,28.3125,27.552499771118164,28.002500534057617,24.808473587036133,214798000
2015-01-12,77.83999633789062,78.0,76.20999908447266,76.72000122070312,76.12262725830078,19190200,14.878000259399414,14.92549991607666,14.46399974822998,14.570500373840332,14.570500373840332,68428000,24.961999893188477,25.013999938964844,24.545499801635742,24.85300064086914,24.649274826049805,57138000,47.41999816894531,47.540000915527344,46.36000061035156,46.599998474121094,39.63162612915039,23651900,0.4997499883174896,0.5,0.48774999380111694,0.492249995470047,0.47242823243141174,190732000,28.149999618530273,28.157499313354492,27.200000762939453,27.3125,24.197174072265625,198603200
2015-01-13,77.2300033569336,78.08000183105469,75.8499984741211,76.44999694824219,75.85472869873047,25179600,14.87399959564209,15.074999809265137,14.661499977111816,14.737000465393066,14.737000465393066,82728000,25.12849998474121,25.43000030517578,24.863000869750977,25.09000015258789,24.88433265686035,60958000,46.970001220703125,47.90999984741211,46.060001373291016,46.36000061035156,39.42749786376953,35270600,0.4959999918937683,0.5059999823570251,0.4880000054836273,0.49149999022483826,0.47170841693878174,236720000,27.857500076293945,28.200000762939453,27.227500915527344,27.55500030517578,24.412012100219727,268367600
